id,number,street,full_address
SV101,101,Av. Siempre Viva,"Av. Siempre Viva 101, Fracc. El Paraíso, Guadalajara, Jalisco"
SV102,102,Av. Siempre Viva,"Av. Siempre Viva 102, Fracc. El Paraíso, Guadalajara, Jalisco"
SV103,103,Av. Siempre Viva,"Av. Siempre Viva 103, Fracc. El Paraíso, Guadalajara, Jalisco"
SV104,104,Av. Siempre Viva,"Av. Siempre Viva 104, Fracc. El Paraíso, Guadalajara, Jalisco"
SV105,105,Av. Siempre Viva,"Av. Siempre Viva 105, Fracc. El Paraíso, Guadalajara, Jalisco"
CB201,201,Calle Bugambilias,"Calle Bugambilias 201, Fracc. El Paraíso, Guadalajara, Jalisco"
CB202,202,Calle Bugambilias,"Calle Bugambilias 202, Fracc. El Paraíso, Guadalajara, Jalisco"
CB203,203,Calle Bugambilias,"Calle Bugambilias 203, Fracc. El Paraíso, Guadalajara, Jalisco"
CJ301,301,Calle Jacarandas,"Calle Jacarandas 301, Fracc. El Paraíso, Guadalajara, Jalisco"
CJ302,302,Calle Jacarandas,"Calle Jacarandas 302, Fracc. El Paraíso, Guadalajara, Jalisco"
CJ303,303,Calle Jacarandas,"Calle Jacarandas 303, Fracc. El Paraíso, Guadalajara, Jalisco"
CJ304,304,Calle Jacarandas,"Calle Jacarandas 304, Fracc. El Paraíso, Guadalajara, Jalisco"
SV401,401,Av. Siempre Viva,"Av. Siempre Viva 401, Fracc. El Paraíso, Guadalajara, Jalisco"
SV402,402,Av. Siempre Viva,"Av. Siempre Viva 402, Fracc. El Paraíso, Guadalajara, Jalisco"
SV403,403,Av. Siempre Viva,"Av. Siempre Viva 403, Fracc. El Paraíso, Guadalajara, Jalisco"
